Asin,Title,Brand,battery WH,motor watts,WHEEL SIZE,Fat Tire,SPEED GEAR,Foldable,external,top speed,Price,Total Reviews,Throttle,disc breaks,Absorbing fork,Charge time,Weight,Days,Rating
B08JGBGFN4,"Sponsored Ad - ANCHEER 27.5'' Electric Bike 48V 350/500W Electric Mountain Bike with Large Capacity Battery, Adults Mans E...",ANCHEER,480,500,27.5,0,21,0,1,20,879.99,321,22,1,1,6,53,18-Sep-20,4.2
B08P8K1LW4,"VIVI Electric Bike for Adults, Electric Mountain Bike 26"" Electric Bicycle 350W/500W Ebike, 20MPH Adult Electric Bicycles ...",VIVI,288,350,26,0,21,0,1,20,699.99,134,22,1,1,6,53,#N/A,4.3
B08ZKPVT1B,"Folding Electric Bike, Yovital 20"" Electric Bikes for Adults with Removable Battery 36v/10ah, 350W Aluminum Foldable Elect...",Yovital,360,350,20,0,7,1,0,20,616.99,77,22,1,1,6,53,20-Mar-21,4.2
B09JZB1676,"VIVI Electric Bike, 26/20 Inch Electric Bicycle for Adults, 350W City Cruiser Ebike with 36V Removable Battery, Shimano 7 ...",VIVI,374.4,350,20,0,7,1,1,20,719.99,167,22,1,1,6,51,23-Oct-21,4.3
B08DY2B9BY,"ANCHEER Electric Bike Electric Mountain Bike 350W 26'' Commuter Ebike, 20MPH Adults Electric Bicycle with Removable 10.4Ah...",ANCHEER,374.4,350,26,0,21,0,1,20,609.99,1024,22,1,1,6,44,30-Jul-20,4.3
B07SSBDF5P,"NAKTO 350W Electric Bike 26"" Commuting E-Bike 6 Speed Electric Bikes for Adults City Ebike for Women High Speed Electric B...",NAKTO,432,350,26,0,7,0,1,21,779.99,113,22,1,1,5,75,972,4
B08PV6N8MF,"VIVI Electric Bike for Adults, Electric Mountain Bike 26"" Electric Bicycle 350W/500W Ebike, 20MPH Adult Electric Bicycles ...",VIVI,288,350,26,0,21,0,1,20,709.99,134,22,1,1,5,64,266,4.3
B08LPWCJ2L,"VIVI Electric Bike for Adults, 350W Folding Electric Mountain Bike 26'' Ebike, 20MPH Adult Electric Bicycle with Removable...",VIVI,288,350,26,0,21,1,1,20,639.99,290,22,1,1,5,60,23-Oct-20,4.3
B07SMXW2F6,"ANCHEER Electric Bike Electric Mountain Bike 350W 26'' Commuter Ebike, 20MPH Adults Electric Bicycle with Removable 10.4Ah...",ANCHEER,374,350,26,0,21,0,1,20,629.99,1024,22,1,1,5,44,530,4.3
B01N76ETKD,"NAKTO Electric Bike for Adults 26"" 250/350W Electric Bicycle for Man and Women with High Speed Brushless Gear Motor 6-Spee...",NAKTO,374.4,350,26,0,6,0,1,18,898.88,248,22,0,1,6,70,18-Nov-16,4.2
B07WVCRYT4,"NAKTO Electric Bikes for Adults, 350W Electric Bicycle 26"" E-Bike 6 Speed Gear with 36V 10.8AH/12Ah Lithium Battery, Charg...",NAKTO,388.8,350,26,0,6,0,1,22,779.99,52,22,0,1,6,63,1-May-19,4.1
B07JGRJHV1,"Sponsored Ad - Nakto Electric Bicycle 250W/350W Electric City Cruiser Bicycle-Up to 40 Miles- Removable Battery, Shimano ...",Nakto,360,350,26,0,6,0,1,19,679.99,188,22,0,1,6,60,16-Oct-18,4.1
B09TPBGSKY,"Nakto Electric Bicycle 250W/350W Electric City Cruiser Bicycle-Up to 40 Miles- Removable Battery, Shimano 6-Speed and Dual...",Nakto,360,350,26,0,6,0,1,19,699.99,188,22,0,1,6,60,1-Mar-22,4.1
B09QWWPHFR,"NAKTO Electric Bikes for Adults, 350W Electric Bicycle 26"" E-Bike 6 Speed Gear with 36V 10.8AH/12Ah Lithium Battery, Charg...",NAKTO,432,350,26,0,6,0,1,22,659.68,52,22,0,1,6,60,21-Jan-22,4.1
B07RWZX59Y,"NAKTO 22"" Electric Bike 250W Electric Bicycle Sporting City Ebike for Female with 36V 10Ah Lithium Battery",NAKTO,360,250,22,0,5,0,1,20,649.99,142,22,0,1,6,56,#N/A,4.2
B01N53K4OC,"NAKTO Electric Bike for Adults 26"" 250W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear Speed ...",NAKTO,360,250,26,0,6,0,1,18,658.88,140,22,0,1,5,50,#N/A,4.1
B07GR75FCY,Swagtron EB-8 Outlaw 20” Fat Tire eBike with Enclosed Removable 36V Battery 350W Motor Power Off-Road Foldable Electric Bi...,Swagtron,316.8,350,20,1,7,1,0,18.6,1133.06,86,21.4,1,1,6,56.2,22-Aug-18,4.4
B09S3L9P7W,"ECOTRIC Electric Bike 26"" E Bike 350W Motor Cruiser Electric Bicycles Removable 36V 10AH Lithium Battery Commute Step-Thro...",ECOTRIC,360,350,26,0,7,0,1,21,769.99,200,21,1,1,8,55,8-Feb-22,4.2
B09TB82LXD,"MICLON Cybertrack 100 Electric Bike for Adults, 2X Faster Charge, 350W BAFANG Motor, 36V 10.4AH Removable Battery, 20MPH 2...",MICLON,374.4,350,26,0,21,0,0,20,799.99,74,21,1,1,3,50.79,24-Feb-22,4.3
B078R1HMFW,"NAKTO Electric Bike 250W/350W Electric City Bicycle-Up to 30 Miles- Removable Battery, Shimano 6-Speed and 36V10A Battery,...",NAKTO,360,250,26,0,6,0,1,20,658.88,109,20,1,1,6,70,#N/A,4.2
B09C8HW7KQ,"NAKTO Electric Bike for Adults 26"" 250W/350W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear S...",NAKTO,360,250,26,0,6,0,1,20,689.88,169,20,1,1,6,69,10-Aug-21,4.2
B09C8H51WX,"NAKTO Electric Bike for Adults 26"" 250W/350W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear S...",NAKTO,360,250,26,0,6,0,1,20,729.99,169,20,1,1,6,69,10-Aug-21,4.2
B08D3G3R2R,"Speedrid Electric Bike 48V 500W Fat Tire Electric Bike Snow Bike 26"" 4.0, 48V 10Ah Removable Battery and Professional 7 Speed",Speedrid,480,500,26,1,6,0,0,22,939.99,228,20,1,1,8,59,343,4.3
B08B84PJTT,"Sponsored Ad - MZZK Electric Bike for Adults, 750W Motor 20+MPH Mountain Electric Bicycle with Removable 48V 12.8Ah Larger...",MZZK,614.4,500,28,0,7,0,1,20,1298,53,20,1,1,6,68,1-Jan-21,4.7
B094VHGH3H,"MZZK Electric Bike for Adults, 750W Motor 20+MPH Mountain Electric Bicycle with Removable 48V 12.8Ah Larger Battery, 500W ...",MZZK,614.4,750,26,1,7,0,1,20,1298,53,20,1,1,6,68,18-May-21,4.7
B09C1ZGMKS,"Sponsored Ad - VIVI Electric Bike 20"" x 4.0 Fat Tire Folding Electric Bicycle 500W/350W Folding Ebike for Adults with 48V ...",VIVI,499.2,500,20,1,7,1,0,23,899.99,101,20,1,1,6,63.9,5-Aug-21,4.1
B00OEXUU5Y,"VIVI Folding Electric Bike Electric Mountain Bike 26"" Lightweight Electric Bicycle 350W Ebike, Electric Bike for Adults wi...",VIVI,288,350,26,0,21,0,1,21,699.99,76,20,1,1,6,60,12-Dec-20,4.2
B09VKTXKRR,"Electric Bike, Sailnovo Electric Bicycle with 18.5mph Electric Bikes for Adults Teens E Bike with Pedals, 14"" Waterproof F...",Sailnovo,374.4,350,14,0,1,1,0,18.6,469.99,202,20,1,1,6,55,10-Mar-21,4.4
B08N4ZQ7PG,"Electric Bike, Sailnovo Electric Bicycle with 18.5mph Electric Bikes for Adults Teens E Bike with Pedals, 14"" Waterproof F...",Sailnovo,374.4,350,14,0,1,1,0,18.6,559.99,202,20,1,1,6,55,10-Mar-21,4.4
B01N80AFFE,"NAKTO 350W/500W/750W Electric Bike 26"" Fat Tire Electric Bicycle 36V10AH,48V12AH/15.6AH Lithium Battery Beach Snow Mountai...",NAKTO,360,350,26,1,6,0,1,20,999.99,83,20,1,1,5.2,54.929,734,3.5
B094N42BLN,"Heybike Cityscape Electric Bike 350W Electric City Cruiser Bicycle-Up to 40 Miles- Removable Battery, Shimano 7-Speed and ...",Heybike,360,350,26,0,7,0,1,19,899.99,372,20,1,1,5.2,54.929,111,4.5
B08WYGZH45,"Aostirmotor Folding Electric Bike 20 inch Fat Tire Electric Bicycle with 500W Motor 36V 13AH Removable Lithium Battery,ebi...",Aostirmotor,468,500,20,1,7,1,1,25,799,67,20,1,1,5,64,192,4.1
B07R865GMF,"NAKTO Electric Bike for Adults City Electric Bicycle Women 36V 10.4AH Removable Battery 30-40Miles Range,18-25MPH, Portabl...",NAKTO,374.4,250,22,0,5,0,1,18,645.99,168,20,1,1,5,50,25-Apr-19,4.2
B07QL6M9RG,"NAKTO Electric Bike Folding Ebike for Adults 350W City Electric Bicycle for Teenager, Removable 36V 10AH Battery 40Miles R...",NAKTO,360,350,22,0,6,0,1,20,658.88,70,20,1,1,5,50,13-Apr-19,4.1
B07BNXKYBC,"Swagtron EB-6 Bandit E-Bike 350W Motor, Power Assist, 4” Tires, 20” Wheels, Removable 36V Lithium Ion Battery, Dual Disc B...",Swagtron,280.8,350,20,1,7,0,1,18.6,899.99,313,20,1,1,5,48.5,23-Mar-18,4.2
B08KF6YWHG,"Gotrax EBE1 16"" Foldable Electric Bike with 270Wh Removable Battery, 15.5MPH Power by 350W Motor, Rear Suspension, Lightwe...",Gotrax,270,350,16,0,1,1,0,15.5,849.99,163,20,1,1,5,56,30-Sep-20,4.2
B07BNXR2YJ,"Swagtron EB-6 Bandit E-Bike 350W Motor, Power Assist, 4” Tires, 20” Wheels, Removable 36V Lithium Ion Battery, Dual Disc B...",Swagtron,281,350,20,1,7,0,1,18.6,849.99,313,20,1,1,4.5,54.929,1256,4.2
B0792DN2N3,"NAKTO Electric Bike for Adults 26"" 250W/350W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear S...",NAKTO,360,250,26,0,6,0,1,20,689.88,169,20,1,1,4.5,50,1322,4.2
B07RJPFDPY,NAKTO Electric Bicycle Fat Tire Ebike Electric Mountain Bike Cruiser Electric Bicycle 20-30 MPH with 350W/500W/750W Brushl...,NAKTO,360,350,26,1,6,0,1,20,849.99,117,20,1,1,4,66,#N/A,3.9
B0791DQNYC,"NAKTO 26"" 350W Fat Tire Electric Bicycle Mountain Snow Beach Sporting Shimano 6 Speed Gear EBike Brushless Gear Motor with...",NAKTO,360,350,26,1,6,0,1,20,949.99,120,20,1,1,4,54.929,847,3.5
B091XZJ7ZD,"Gyroor Folding Electric Bike for Adults Teens, 450W eBike with 18.6MPH up to 25 Miles Adult Electric Bicycles 14in Tire, D...",Gyroor,360,450,14,0,15,1,0,18.5,599.95,139,20,1,0,5,43,#N/A,4.1
B07FMMK84W,"Sponsored Ad - Nakto Electric Bike, 250W City Electric Bicycle-Shimano 6-Speed-Up to 35 Miles, 26"" Electric Commuter Bike ...",Nakto,360,250,26,0,6,0,0,20,679.99,168,20,0,1,6,56,16-Jul-18,4
B09YRG6S8F,"NAKTO Electric Bike for Adults City Electric Bicycle Women 36V 10.4AH Removable Battery 30-40Miles Range,18-25MPH, Portabl...",NAKTO,374.4,250,26,0,6,0,1,20,688.88,168,20,0,1,6,56,25-Apr-22,4.2
B099RGPVPC,"NAKTO 26'' Electric Bike for Adult, Cargo Electric Bicycle Camel Style, 250W/350W Brushless Motor and 10.5Ah Removable Lit...",NAKTO,378,250,26,0,6,0,1,16,648.9,57,20,0,1,6,72,18-Jul-21,4.2
B09HBZJ213,Rattan 350W/500W/750W Electric Mountain Bike 27.5/26'' Fat Tire Electric Bike for Adult 48V 13AH Removable Lithium-ion Bat...,Rattan,624,750,26,1,7,0,1,23,1099,52,20,0,0,7,70,23-Nov-20,3.9
B09MYPK1GH,"ECOTRIC Electric Bike 26"" X 4"" Fat Tire Bicycle 500W 36V 12.5AH Battery EBike Beach Mountain Snow E-Bike Throttle & Pedal ...",ECOTRIC,450,500,26,1,7,0,1,20,899.99,151,19,1,1,8,60,2-Dec-21,4.4
B09L63HGDP,"Jasion EB5 Electric Bike for Adults with 360Wh Removable Battery, 40Miles 20MPH Commuting Electric Mountain Bike with 350W...",Jasion,360,350,26,0,7,0,1,20,599.99,70,19,1,1,6,49.6,6-Nov-21,4.5
B07XY3PV16,"CLIENSY 26 Inch Electric Bike, 350W Folding Ebike with Removable 36V 8AH Lithium Battery for Adults, 21 Speed Shifter",CLIENSY,288,350,26,0,21,0,1,19,619.99,142,19,1,1,5,58,#N/A,3.8
B07XY4DKLJ,"CLIENSY 26 Inch Electric Bike, 350W Folding Ebike with Removable 36V 8AH Lithium Battery for Adults, 21 Speed Shifter",CLIENSY,288,350,26,0,21,0,1,19,629.99,142,19,1,1,5,58,#N/A,3.8
B08TTLVRHT,"ECOTRIC Electric Bike 500W Foldaway E Bike 20"" Fat Tire Folding Electric Bicycle 36V 12.5AH Lithium Removable Battery Beac...",ECOTRIC,450,500,20,1,7,1,1,20,889.99,256,19,1,0,8,56,3-Mar-21,4.3
B08WLK1WCQ,"ECOTRIC Mountain EBike Electric Bicycle Bike 26"" Alloy Frame with 500W Powerful Motor 36V/13Ah Lithium Suspension Fork",ECOTRIC,468,500,26,0,7,0,1,20,939.99,62,18.64,1,1,8,66.69,25-Jan-21,4.3
B08JJ4T8FT,ECOTRIC 26” Fat Tire Electric Bicycle Powerful Mountain Bike 500W Motor 36V/13AH Removable Lithium Battery Ebike Beach Sno...,ECOTRIC,468,500,26,1,7,0,1,23.6,1199.99,155,18.64,1,1,8,55,19-Sep-20,4.6
B091PFMRPY,"ECOTRIC Electric Bike 26"" Fat Tire 750W Electric Bicycles 48V 13AH Removable Large Battery Beach Snow Mountain E-Bike for ...",ECOTRIC,624,750,26,1,7,0,1,21,1274.99,139,18.5,1,1,8,86.09,#N/A,4.1
B08WLRRML5,"Sponsored Ad - ECOTRIC 20"" Powerful 500W Folding Electric Bicycle Fat Tire Alloy Frame 36V/12.5AH Lithium Battery Ebike Re...",ECOTRIC,450,500,20,1,7,1,1,20,939.99,172,18,1,1,8,66,26-Dec-20,4.4
B089NF2CVZ,"ECOTRIC 20"" Powerful 500W Folding Electric Bicycle Fat Tire Alloy Frame 36V/12.5AH Lithium Battery Ebike Rear Motor LED Di...",ECOTRIC,450,500,20,1,7,1,1,20,939.99,172,18,1,1,8,55,4-Jun-20,4.4
B08TT6LM2R,"ECOTRIC 26"" Ebike Electric Powerful City Bicycle Bike 350W 36V/12.5AH Removable Lithium Battery Assist Disc Brake System T...",ECOTRIC,450,350,26,0,7,0,1,20,619,55,18,1,1,8,51,23-Jan-21,4.1
B09CQ214VC,"HITWAY Electric Bike for Adults,Lightweight Ebike with 36V Removable Li-Battery,16 Inch Folding Electric Bicycles with Ped...",HITWAY,270,250,16,0,3,1,0,15.5,599.99,51,18,1,1,5,49.6,16-Aug-21,4.1
B0764JT1JN,Gopowerbike Folding Electric GoCity Bicycle 20” 500W with A Removable 48v 10AH Lithium-Ion Battery - Lightweight and High ...,Gopowerbike,480,500,20,0,6,1,1,20,809.99,76,18,1,1,4,55,21-Jul-19,4.4
B07QQH2LRX,"sixthreezero Electric-Bicycles Around The Block Women's Ebike, 250/500 Watt Motor, 7-Speed Beach Cruiser Bicycle with Rear...",sixthreezero,250,250,26,0,7,0,1,14,1299.99,97,18,1,0,6,66,1-Apr-19,4.4
B07QSLNBG1,"sixthreezero Electric-Bicycles Around The Block Women's Ebike, 250/500 Watt Motor, 7-Speed Beach Cruiser Bicycle with Rear...",sixthreezero,250,500,26,0,7,0,1,14,1849.99,97,18,1,0,6,66,1-Apr-19,4.4
B07Q5VQ8QK,sixthreezero Hybrid-Bicycles sixthreezero EVRYjourney Women's Electric Bicycle,sixthreezero,499.2,500,26,0,7,0,1,14,1949.99,52,18,1,0,6,66,1-Apr-19,4.7
B091YPVCGH,"ENGWE Electric Bike Adult Electric Mountain Bike 250W E-Bike 26'' Electric Bicycle with Removable 36V 8Ah Battery, Profess...",ENGWE,288,250,26,0,21,0,1,17,528.89,122,17,1,1,5,54.929,125,3.9
B089YNB8FM,26'' Electric Folding Mountain Bike with Removable 36V 8AH Lithium-Ion Battery 250W Motor Electric Bike E-Bike 21 Speed Gear,elifine,288,250,26,0,21,1,1,15,599.99,61,15.5,1,1,6,55.12,10-Jun-20,4
B0911RZ49C,"Electric Bike for Adults, 26'' Folding Electric Mountain Bike with Removable 36V 8AH Lithium-Ion Battery, 250W Motor Elect...",Aceshin,288,250,26,0,21,1,1,15.5,659.99,57,15.5,1,1,6,53,25-Mar-21,4.2
B08LCVWHDW,Angotrade 26 inch Electric Bike Folding Mountain E-Bike 21 Speed 36V 8A Lithium Battery Electric Bicycle for Adult,Angotrade,288,250,26,0,21,0,1,21,619.99,104,15.5,1,1,5,55.12,428,4.4
B07JB3JDRJ,Swagtron Swagcycle EB-7 Elite Folding Electric Bike with Removable Battery and Rear Suspension,Swagtron,187.2,350,16,0,1,1,0,18.6,649.99,338,15.5,1,0,4,42.3,B07JC83SM5,4
B07JC83SM5,Swagtron Swagcycle EB-7 Elite Folding Electric Bike with Removable Battery and Rear Suspension,Swagtron,187.2,350,16,0,1,1,0,18.6,699.99,338,15.5,1,0,4,42.3,11-Oct-18,4
B07BNV2Q8H,Swagtron Swagcycle EB-5 Lightweight Aluminum Folding Electric Bike with Pedals,Swagtron,250,250,14,0,1,1,0,15,599.99,1263,15.5,0,0,7,45,23-Mar-18,4.1
B09L4HFM95,HILAND Rockshark Electric Bike Electric Mountain Bike Aluminum 26/27.5/29 inch 350W 21MPH Adults E-Bike Shimano 21 Speed D...,HILAND,374.4,350,26,0,21,0,1,20,699.99,52,15,1,1,6,57,17-Dec-21,4.4
B09LCVS56H,"ANCHEER Electric Bike, Folding Electric Bike 26"" Electric Mountain Bike with Magnesium Alloy Integrated Wheel, Electric Bi...",ANCHEER,288,250,26,0,21,1,1,15,749.99,250,15,1,1,6,55,9-Nov-21,4.3
B09J8BKD73,"ANCHEER Electric Bike, Folding Electric Bike 26"" Electric Mountain Bike with Magnesium Alloy Integrated Wheel, Electric Bi...",ANCHEER,288,250,26,0,21,1,1,15,769.99,250,15,1,1,6,51,12-Oct-21,4.3
B088GZ8Q15,"ANCHEER Electric Folding Bike, 20'' Foldable Electric Bicycle with 36v 8ah Removable Lithium-ion Battery, Professional 7 S...",ANCHEER,288,250,20,0,7,1,0,17,609.99,113,15,1,1,4,55,#N/A,4.2
B07YTSGY81,"ANCHEER Folding Electric Bicycles, 16-inch Electric Bike with 8Ah Removable Battery, 15-30 Miles Range Power-Assist City E...",ANCHEER,288,250,16,0,1,1,1,15.5,519.99,163,15,1,0,5,54.929,422,4
B0B2448XBJ,ANCHEER 16 inch Folding Electric Bike for Adults - Single Speed up to 15.5 Mph eBike with Removable Battery Mileage 30 Mil...,ANCHEER,288,250,16,0,1,1,1,15.5,489.99,349,15,1,0,5,47.4,24-May-22,4.2
B06XBSYWCY,"NAKTO 16""/20"" Foldaway/City Electric Bikes for Adults 250/350W Assisted Electric Bicycle Sport Mountain Bicycle with 36V10...",NAKTO,360,250,20,0,6,1,1,20,678.88,160,15,0,1,6,60,27-Feb-17,4.3
B07THFR6MM,Swagtron Swagcycle EB-5 Lightweight Aluminum Folding Electric Bike with Pedals,Swagtron,250,250,14,0,1,1,0,15,549.99,1263,15,0,0,5,37,1-Oct-19,4.1
20EB-FOLD,Voltour,Voltour,576,750,20,1,7,1,1,30,,,22,1,1,5.6,73,,
20EB-FOLDWT,Voltour,Voltour,576,750,20,1,7,1,1,30,,,22,1,1,5.6,73,,
26EB-CITYBK,Voltour,Voltour,576,350,26,0,7,0,1,24,,,30,1,1,5.6,79.6,,
26EB-CITYWT,Voltour,Voltour,576,350,26,0,7,0,1,24,,,30,1,1,5.6,79.6,,
26EB-MTN,Voltour,Voltour,720,750,26,1,7,0,1,32,,,22,1,1,5.6,99.5,,
26EB-CITYBK-500W,Voltour,Voltour,576,500,26,0,7,0,1,24,,,30,1,1,5.6,79.6,,
26EB-CITYWT-500W,Voltour,Voltour,576,500,26,0,7,0,1,24,,,30,1,1,5.6,79.6,,
